3 3
points[25][25] = 
0.140194 -0.523210 0.793353
0.270833 -0.469097 0.793353
0.383016 -0.383016 0.793353
0.469097 -0.270833 0.793353
0.523210 -0.140194 0.793353
0.541667 0.000000 0.793353
0.583333 0.000000 0.866025
0.563457 0.150978 0.866025
0.505181 0.291667 0.866025
0.412479 0.412479 0.866025
0.291667 0.505181 0.866025
0.150978 0.563457 0.866025
0.000000 0.583333 0.866025
-0.150978 0.563457 0.866025
-0.291667 0.505181 0.866025
-0.412479 0.412479 0.866025
-0.505181 0.291667 0.866025
-0.563457 0.150978 0.866025
-0.583333 0.000000 0.866025
-0.563457 -0.150978 0.866025
-0.505181 -0.291667 0.866025
-0.412479 -0.412479 0.866025
-0.291667 -0.505181 0.866025
-0.150978 -0.563457 0.866025
0.000000 -0.583333 0.866025
0.150978 -0.563457 0.866025
0.291667 -0.505181 0.866025
0.412479 -0.412479 0.866025
0.505181 -0.291667 0.866025
0.563457 -0.150978 0.866025
0.583333 0.000000 0.866025
0.625000 0.000000 0.923880
0.603704 0.161762 0.923880
0.541266 0.312500 0.923880
0.441942 0.441942 0.923880
0.312500 0.541266 0.923880
0.161762 0.603704 0.923880
0.000000 0.625000 0.923880
-0.161762 0.603704 0.923880
-0.312500 0.541266 0.923880
-0.441942 0.441942 0.923880
-0.541266 0.312500 0.923880
-0.603704 0.161762 0.923880
-0.625000 0.000000 0.923880
-0.603704 -0.161762 0.923880
-0.541266 -0.312500 0.923880
-0.441942 -0.441942 0.923880
-0.312500 -0.541266 0.923880
-0.161762 -0.603704 0.923880
0.000000 -0.625000 0.923880
0.161762 -0.603704 0.923880
0.312500 -0.541266 0.923880
0.441942 -0.441942 0.923880
0.541266 -0.312500 0.923880
0.603704 -0.161762 0.923880
0.625000 0.000000 0.923880
0.666667 0.000000 0.965926
0.643951 0.172546 0.965926
0.577350 0.333333 0.965926
0.471405 0.471405 0.965926
0.333333 0.577350 0.965926
0.172546 0.643951 0.965926
0.000000 0.666667 0.965926
-0.172546 0.643951 0.965926
-0.333333 0.577350 0.965926
-0.471405 0.471405 0.965926
-0.577350 0.333333 0.965926
-0.643951 0.172546 0.965926
-0.666667 0.000000 0.965926
-0.643951 -0.172546 0.965926
-0.577350 -0.333333 0.965926
-0.471405 -0.471405 0.965926
-0.333333 -0.577350 0.965926
-0.172546 -0.643951 0.965926
0.000000 -0.666667 0.965926
0.172546 -0.643951 0.965926
0.333333 -0.577350 0.965926
0.471405 -0.471405 0.965926
0.577350 -0.333333 0.965926
0.643951 -0.172546 0.965926
0.666667 0.000000 0.965926
0.708333 0.000000 0.991445
0.684197 0.183330 0.991445
0.613435 0.354167 0.991445
0.500867 0.500867 0.991445
0.354167 0.613435 0.991445
0.183330 0.684197 0.991445
0.000000 0.708333 0.991445
-0.183330 0.684197 0.991445
-0.354167 0.613435 0.991445
-0.500867 0.500867 0.991445
-0.613435 0.354167 0.991445
-0.684197 0.183330 0.991445
-0.708333 0.000000 0.991445
-0.684197 -0.183330 0.991445
-0.613435 -0.354167 0.991445
-0.500867 -0.500867 0.991445
-0.354167 -0.613435 0.991445
-0.183330 -0.684197 0.991445
0.000000 -0.708333 0.991445
0.183330 -0.684197 0.991445
0.354167 -0.613435 0.991445
0.500867 -0.500867 0.991445
0.613435 -0.354167 0.991445
0.684197 -0.183330 0.991445
0.708333 0.000000 0.991445
0.750000 0.000000 1.000000
0.724444 0.194114 1.000000
0.649519 0.375000 1.000000
0.530330 0.530330 1.000000
0.375000 0.649519 1.000000
0.194114 0.724444 1.000000
0.000000 0.750000 1.000000
-0.194114 0.724444 1.000000
-0.375000 0.649519 1.000000
-0.530330 0.530330 1.000000
-0.649519 0.375000 1.000000
-0.724444 0.194114 1.000000
-0.750000 0.000000 1.000000
-0.724444 -0.194114 1.000000
-0.649519 -0.375000 1.000000
-0.530330 -0.530330 1.000000
-0.375000 -0.649519 1.000000
-0.194114 -0.724444 1.000000
0.000000 -0.750000 1.000000
0.194114 -0.724444 1.000000
0.375000 -0.649519 1.000000
0.530330 -0.530330 1.000000
0.649519 -0.375000 1.000000
0.724444 -0.194114 1.000000
0.750000 0.000000 1.000000
0.791667 0.000000 0.991445
0.764691 0.204898 0.991445
0.685603 0.395833 0.991445
0.559793 0.559793 0.991445
0.395833 0.685603 0.991445
0.204898 0.764691 0.991445
0.000000 0.791667 0.991445
-0.204898 0.764691 0.991445
-0.395833 0.685603 0.991445
-0.559793 0.559793 0.991445
-0.685603 0.395833 0.991445
-0.764691 0.204898 0.991445
-0.791667 0.000000 0.991445
-0.764691 -0.204898 0.991445
-0.685603 -0.395833 0.991445
-0.559793 -0.559793 0.991445
-0.395833 -0.685603 0.991445
-0.204898 -0.764691 0.991445
0.000000 -0.791667 0.991445
0.204898 -0.764691 0.991445
0.395833 -0.685603 0.991445
0.559793 -0.559793 0.991445
0.685603 -0.395833 0.991445
0.764691 -0.204898 0.991445
0.791667 0.000000 0.991445
0.833333 0.000000 0.965926
0.804938 0.215683 0.965926
0.721688 0.416667 0.965926
0.589256 0.589256 0.965926
0.416667 0.721688 0.965926
0.215683 0.804938 0.965926
0.000000 0.833333 0.965926
-0.215683 0.804938 0.965926
-0.416667 0.721688 0.965926
-0.589256 0.589256 0.965926
-0.721688 0.416667 0.965926
-0.804938 0.215683 0.965926
-0.833333 0.000000 0.965926
-0.804938 -0.215683 0.965926
-0.721688 -0.416667 0.965926
-0.589256 -0.589256 0.965926
-0.416667 -0.721688 0.965926
-0.215683 -0.804938 0.965926
0.000000 -0.833333 0.965926
0.215683 -0.804938 0.965926
0.416667 -0.721688 0.965926
0.589256 -0.589256 0.965926
0.721688 -0.416667 0.965926
0.804938 -0.215683 0.965926
0.833333 0.000000 0.965926
0.875000 0.000000 0.923880
0.845185 0.226467 0.923880
0.757772 0.437500 0.923880
0.618718 0.618718 0.923880
0.437500 0.757772 0.923880
0.226467 0.845185 0.923880
