3 3
points[25][25] = 
-0.194114 -0.724444 1.000000
0.000000 -0.750000 1.000000
0.194114 -0.724444 1.000000
0.375000 -0.649519 1.000000
0.530330 -0.530330 1.000000
0.649519 -0.375000 1.000000
0.724444 -0.194114 1.000000
0.750000 0.000000 1.000000
0.750000 0.000000 0.991445
0.724444 0.194114 0.991445
0.649519 0.375000 0.991445
0.530330 0.530330 0.991445
0.375000 0.649519 0.991445
0.194114 0.724444 0.991445
0.000000 0.750000 0.991445
-0.194114 0.724444 0.991445
-0.375000 0.649519 0.991445
-0.530330 0.530330 0.991445
-0.649519 0.375000 0.991445
-0.724444 0.194114 0.991445
-0.750000 0.000000 0.991445
-0.724444 -0.194114 0.991445
-0.649519 -0.375000 0.991445
-0.530330 -0.530330 0.991445
-0.375000 -0.649519 0.991445
-0.194114 -0.724444 0.991445
0.000000 -0.750000 0.991445
0.194114 -0.724444 0.991445
0.375000 -0.649519 0.991445
0.530330 -0.530330 0.991445
0.649519 -0.375000 0.991445
0.724444 -0.194114 0.991445
0.750000 0.000000 0.991445
0.791667 0.000000 0.965926
0.764691 0.204898 0.965926
0.685603 0.395833 0.965926
0.559793 0.559793 0.965926
0.395833 0.685603 0.965926
0.204898 0.764691 0.965926
0.000000 0.791667 0.965926
-0.204898 0.764691 0.965926
-0.395833 0.685603 0.965926
-0.559793 0.559793 0.965926
-0.685603 0.395833 0.965926
-0.764691 0.204898 0.965926
-0.791667 0.000000 0.965926
-0.764691 -0.204898 0.965926
-0.685603 -0.395833 0.965926
-0.559793 -0.559793 0.965926
-0.395833 -0.685603 0.965926
-0.204898 -0.764691 0.965926
0.000000 -0.791667 0.965926
0.204898 -0.764691 0.965926
0.395833 -0.685603 0.965926
0.559793 -0.559793 0.965926
0.685603 -0.395833 0.965926
0.764691 -0.204898 0.965926
0.791667 0.000000 0.965926
0.791667 0.000000 0.923880
0.764691 0.204898 0.923880
0.685603 0.395833 0.923880
0.559793 0.559793 0.923880
0.395833 0.685603 0.923880
0.204898 0.764691 0.923880
0.000000 0.791667 0.923880
-0.204898 0.764691 0.923880
-0.395833 0.685603 0.923880
-0.559793 0.559793 0.923880
-0.685603 0.395833 0.923880
-0.764691 0.204898 0.923880
-0.791667 0.000000 0.923880
-0.764691 -0.204898 0.923880
-0.685603 -0.395833 0.923880
-0.559793 -0.559793 0.923880
-0.395833 -0.685603 0.923880
-0.204898 -0.764691 0.923880
0.000000 -0.791667 0.923880
0.204898 -0.764691 0.923880
0.395833 -0.685603 0.923880
0.559793 -0.559793 0.923880
0.685603 -0.395833 0.923880
0.764691 -0.204898 0.923880
0.791667 0.000000 0.923880
0.833333 0.000000 0.866025
0.804938 0.215683 0.866025
0.721688 0.416667 0.866025
0.589256 0.589256 0.866025
0.416667 0.721688 0.866025
0.215683 0.804938 0.866025
0.000000 0.833333 0.866025
-0.215683 0.804938 0.866025
-0.416667 0.721688 0.866025
-0.589256 0.589256 0.866025
-0.721688 0.416667 0.866025
-0.804938 0.215683 0.866025
-0.833333 0.000000 0.866025
-0.804938 -0.215683 0.866025
-0.721688 -0.416667 0.866025
-0.589256 -0.589256 0.866025
-0.416667 -0.721688 0.866025
-0.215683 -0.804938 0.866025
0.000000 -0.833333 0.866025
0.215683 -0.804938 0.866025
0.416667 -0.721688 0.866025
0.589256 -0.589256 0.866025
0.721688 -0.416667 0.866025
0.804938 -0.215683 0.866025
0.833333 0.000000 0.866025
0.833333 0.000000 0.793353
0.804938 0.215683 0.793353
0.721688 0.416667 0.793353
0.589256 0.589256 0.793353
0.416667 0.721688 0.793353
0.215683 0.804938 0.793353
0.000000 0.833333 0.793353
-0.215683 0.804938 0.793353
-0.416667 0.721688 0.793353
-0.589256 0.589256 0.793353
-0.721688 0.416667 0.793353
-0.804938 0.215683 0.793353
-0.833333 0.000000 0.793353
-0.804938 -0.215683 0.793353
-0.721688 -0.416667 0.793353
-0.589256 -0.589256 0.793353
-0.416667 -0.721688 0.793353
-0.215683 -0.804938 0.793353
0.000000 -0.833333 0.793353
0.215683 -0.804938 0.793353
0.416667 -0.721688 0.793353
0.589256 -0.589256 0.793353
0.721688 -0.416667 0.793353
0.804938 -0.215683 0.793353
0.833333 0.000000 0.793353
0.875000 0.000000 0.707107
0.845185 0.226467 0.707107
0.757772 0.437500 0.707107
0.618718 0.618718 0.707107
0.437500 0.757772 0.707107
0.226467 0.845185 0.707107
0.000000 0.875000 0.707107
-0.226467 0.845185 0.707107
-0.437500 0.757772 0.707107
-0.618718 0.618718 0.707107
-0.757772 0.437500 0.707107
-0.845185 0.226467 0.707107
-0.875000 0.000000 0.707107
-0.845185 -0.226467 0.707107
-0.757772 -0.437500 0.707107
-0.618718 -0.618718 0.707107
-0.437500 -0.757772 0.707107
-0.226467 -0.845185 0.707107
0.000000 -0.875000 0.707107
0.226467 -0.845185 0.707107
0.437500 -0.757772 0.707107
0.618718 -0.618718 0.707107
0.757772 -0.437500 0.707107
0.845185 -0.226467 0.707107
0.875000 0.000000 0.707107
0.875000 0.000000 0.608761
0.845185 0.226467 0.608761
0.757772 0.437500 0.608761
0.618718 0.618718 0.608761
0.437500 0.757772 0.608761
0.226467 0.845185 0.608761
0.000000 0.875000 0.608761
-0.226467 0.845185 0.608761
-0.437500 0.757772 0.608761
-0.618718 0.618718 0.608761
-0.757772 0.437500 0.608761
-0.845185 0.226467 0.608761
-0.875000 0.000000 0.608761
-0.845185 -0.226467 0.608761
-0.757772 -0.437500 0.608761
-0.618718 -0.618718 0.608761
-0.437500 -0.757772 0.608761
-0.226467 -0.845185 0.608761
0.000000 -0.875000 0.608761
0.226467 -0.845185 0.608761
0.437500 -0.757772 0.608761
0.618718 -0.618718 0.608761
0.757772 -0.437500 0.608761
0.845185 -0.226467 0.608761
0.875000 0.000000 0.608761
0.916667 0.000000 0.500000
0.885432 0.237251 0.500000
0.793857 0.458333 0.500000
0.648181 0.648181 0.500000
0.458333 0.793857 0.500000
0.237251 0.885432 0.500000
0.000000 0.916667 0.500000
-0.237251 0.885432 0.500000
-0.458333 0.793857 0.500000
-0.648181 0.648181 0.500000
-0.793857 0.458333 0.500000
-0.885432 0.237251 0.500000
-0.916667 0.000000 0.500000
-0.885432 -0.237251 0.500000
-0.793857 -0.458333 0.500000
-0.648181 -0.648181 0.500000
-0.458333 -0.793857 0.500000
-0.237251 -0.885432 0.500000
0.000000 -0.916667 0.500000
0.237251 -0.885432 0.500000
0.458333 -0.793857 0.500000
0.648181 -0.648181 0.500000
0.793857 -0.458333 0.500000
0.885432 -0.237251 0.500000
0.916667 0.000000 0.500000
0.916667 0.000000 0.382683
0.885432 0.237251 0.382683
0.793857 0.458333 0.382683
0.648181 0.648181 0.382683
0.458333 0.793857 0.382683
0.237251 0.885432 0.382683
0.000000 0.916667 0.382683
-0.237251 0.885432 0.382683
-0.458333 0.793857 0.382683
-0.648181 0.648181 0.382683
-0.793857 0.458333 0.382683
-0.885432 0.237251 0.382683
-0.916667 0.000000 0.382683
-0.885432 -0.237251 0.382683
-0.793857 -0.458333 0.382683
-0.648181 -0.648181 0.382683
-0.458333 -0.793857 0.382683
-0.237251 -0.885432 0.382683
0.000000 -0.916667 0.382683
0.237251 -0.885432 0.382683
0.458333 -0.793857 0.382683
0.648181 -0.648181 0.382683
0.793857 -0.458333 0.382683
0.885432 -0.237251 0.382683
0.916667 0.000000 0.382683
0.958333 0.000000 0.258819
0.925679 0.248035 0.258819
0.829941 0.479167 0.258819
0.677644 0.677644 0.258819
0.479167 0.829941 0.258819
0.248035 0.925679 0.258819
0.000000 0.958333 0.258819
-0.248035 0.925679 0.258819
-0.479167 0.829941 0.258819
-0.677644 0.677644 0.258819
-0.829941 0.479167 0.258819
-0.925679 0.248035 0.258819
-0.958333 0.000000 0.258819
-0.925679 -0.248035 0.258819
-0.829941 -0.479167 0.258819
-0.677644 -0.677644 0.258819
-0.479167 -0.829941 0.258819
-0.248035 -0.925679 0.258819
0.000000 -0.958333 0.258819
0.248035 -0.925679 0.258819
0.479167 -0.829941 0.258819
0.677644 -0.677644 0.258819
0.829941 -0.479167 0.258819
0.925679 -0.248035 0.258819
0.958333 0.000000 0.258819
0.958333 0.000000 0.130526
0.925679 0.248035 0.130526
0.829941 0.479167 0.130526
0.677644 0.677644 0.130526
0.479167 0.829941 0.130526
0.248035 0.925679 0.130526
0.000000 0.958333 0.130526
-0.248035 0.925679 0.130526
-0.479167 0.829941 0.130526
-0.677644 0.677644 0.130526
-0.829941 0.479167 0.130526
-0.925679 0.248035 0.130526
-0.958333 0.000000 0.130526
-0.925679 -0.248035 0.130526
-0.829941 -0.479167 0.130526
-0.677644 -0.677644 0.130526
-0.479167 -0.829941 0.130526
-0.248035 -0.925679 0.130526
0.000000 -0.958333 0.130526
0.248035 -0.925679 0.130526
0.479167 -0.829941 0.130526
0.677644 -0.677644 0.130526
0.829941 -0.479167 0.130526
0.925679 -0.248035 0.130526
0.958333 0.000000 0.130526
1.000000 0.000000 0.000000
0.965926 0.258819 0.000000
0.866025 0.500000 0.000000
0.707107 0.707107 0.000000
0.500000 0.866025 0.000000
0.258819 0.965926 0.000000
0.000000 1.000000 0.000000
-0.258819 0.965926 0.000000
-0.500000 0.866025 0.000000
-0.707107 0.707107 0.000000
-0.866025 0.500000 0.000000
-0.965926 0.258819 0.000000
-1.000000 0.000000 0.000000
-0.965926 -0.258819 0.000000
-0.866025 -0.500000 0.000000
-0.707107 -0.707107 0.000000
-0.500000 -0.866025 0.000000
-0.258819 -0.965926 0.000000
0.000000 -1.000000 0.000000
0.258819 -0.965926 0.000000
0.500000 -0.866025 0.000000
0.707107 -0.707107 0.000000
0.866025 -0.500000 0.000000
0.965926 -0.258819 0.000000
1.000000 0.000000 0.000000
